controller,scenario,num_barrels,seed,pid,result
dwa,trashcans,7,23,3408,SUCCEEDED
custom_dwa,trashcans,7,23,3449,SUCCEEDED
eband,trashcans,7,23,3508,SUCCEEDED
teb,trashcans,7,23,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,23,3558,TIMED_OUT
dwa,trashcans,3,24,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,23,3283,TIMED_OUT
custom_dwa,trashcans,3,24,3408,SUCCEEDED
dwa,trashcans,5,24,3558,SUCCEEDED
eband,trashcans,3,24,3449,SUCCEEDED
teb,trashcans,3,24,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,24,3354,TIMED_OUT
custom_dwa,trashcans,5,24,3304,SUCCEEDED
eband,trashcans,5,24,3283,SUCCEEDED
teb,trashcans,5,24,3408,SUCCEEDED
baseLocalPlanner,trashcans,5,24,3601,TIMED_OUT
teb,trashcans,7,24,3304,SUCCEEDED
dwa,trashcans,3,25,3408,SUCCEEDED
baseLocalPlanner,trashcans,7,24,3558,TIMED_OUT
dwa,trashcans,7,24,3449,SUCCEEDED
custom_dwa,trashcans,7,24,3508,SUCCEEDED
custom_dwa,trashcans,3,25,3601,SUCCEEDED
eband,trashcans,7,24,3354,TIMED_OUT
baseLocalPlanner,trashcans,3,25,3283,SUCCEEDED
eband,trashcans,3,25,3304,SUCCEEDED
teb,trashcans,3,25,3408,SUCCEEDED
dwa,trashcans,5,25,3449,ABORTED
custom_dwa,trashcans,5,25,3508,SUCCEEDED
teb,trashcans,5,25,3354,SUCCEEDED
dwa,trashcans,7,25,3304,SUCCEEDED
eband,trashcans,5,25,3601,SUCCEEDED
custom_dwa,trashcans,7,25,3408,SUCCEEDED
baseLocalPlanner,trashcans,5,25,3558,TIMED_OUT
baseLocalPlanner,trashcans,7,25,3283,TIMED_OUT
teb,trashcans,7,25,3508,SUCCEEDED
dwa,trashcans,3,26,3304,SUCCEEDED
eband,trashcans,7,25,3449,SUCCEEDED
custom_dwa,trashcans,3,26,3601,SUCCEEDED
eband,trashcans,3,26,3408,SUCCEEDED
teb,trashcans,3,26,3558,SUCCEEDED
dwa,trashcans,5,26,3508,SUCCEEDED
custom_dwa,trashcans,5,26,3304,SUCCEEDED
baseLocalPlanner,trashcans,3,26,3354,TIMED_OUT
eband,trashcans,5,26,3449,SUCCEEDED
teb,trashcans,5,26,3601,SUCCEEDED
dwa,trashcans,7,26,3558,SUCCEEDED
custom_dwa,trashcans,7,26,3508,SUCCEEDED
baseLocalPlanner,trashcans,5,26,3283,TIMED_OUT
eband,trashcans,7,26,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,26,3408,TIMED_OUT
teb,trashcans,7,26,3354,SUCCEEDED
custom_dwa,trashcans,3,27,3558,SUCCEEDED
dwa,trashcans,3,27,3601,SUCCEEDED
teb,trashcans,3,27,3283,SUCCEEDED
eband,trashcans,3,27,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,27,3449,TIMED_OUT
custom_dwa,trashcans,5,27,3354,ABORTED
eband,trashcans,5,27,3558,SUCCEEDED
dwa,trashcans,5,27,3408,SUCCEEDED
teb,trashcans,5,27,3601,SUCCEEDED
dwa,trashcans,7,27,3508,SUCCEEDED
baseLocalPlanner,trashcans,5,27,3304,TIMED_OUT
custom_dwa,trashcans,7,27,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,27,3283,SUCCEEDED
eband,trashcans,7,27,3354,SUCCEEDED
dwa,trashcans,3,28,3601,SUCCEEDED
teb,trashcans,7,27,3558,SUCCEEDED
custom_dwa,trashcans,3,28,3508,SUCCEEDED
eband,trashcans,3,28,3304,SUCCEEDED
dwa,trashcans,5,28,3354,SUCCEEDED
